STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/19;0,0;-2,6;5,4;12,5;20;7,8;30;250;0,5
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/20;0,0;-3,7;5,8;9,0;20;6,1;30;217;0,7
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/21;0,0;-5,7;8,5;4,1;130;3,2;40;451;0,6
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/22;0,0;-5,1;7,1;5,1;350;3,7;10;268;0,5
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/23;0,0;-2,9;3,3;3,7;10;2,3;20;0;0,3
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/24;0,0;-3,0;13,6;3,6;200;2,5;160;272;0,7
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/25;0,0;-2,5;15,3;4,1;360;2,7;10;468;0,9
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/26;0,2;-1,5;11,5;6,5;170;4,5;150;126;0,5
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/27;1,4;0,9;10,4;11,1;160;6,3;180;0;0,6
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/28;2,0;4,9;9,2;16,7;250;7,1;240;56;1,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/29;1,6;5,0;10,6;10,0;270;4,4;260;56;0,9
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/30;3,8;0,5;11,7;8,8;200;4,9;190;0;0,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/01/31;0,0;9,7;15,2;8,8;240;3,9;250;12;1,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/01;2,4;6,1;16,1;11,7;270;5,3;220;132;1,2
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/02;1,4;7,9;17,6;11,2;210;5,0;160;2;0,9
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/03;4,6;13,7;19,3;15,0;200;6,4;210;263;2,6
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/04;1,4;4,7;8,8;24,0;320;9,2;310;171;1,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/05;0,0;4,4;9,2;8,5;60;5,1;20;319;1,2
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/06;0,0;-3,1;8,8;8,7;60;5,7;40;383;0,7
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/07;0,0;-4,3;14,8;7,1;150;3,5;160;479;0,8
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/08;0,0;-1,3;15,5;8,9;190;5,2;180;419;1,1
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/09;0,0;3,9;16,3;18,2;170;9,2;200;310;1,9
03060001;VICHY-CHARMEIL;3,399;46,167;249;2020/02/10;2,0;11,2;14,7;19,9;200;8,6;200;154;2,9
